点时间,航向,航程,速度,高度,经度,纬度
9:15:27,80.785,0,85.4424,410.534,123.0944143,39.43693225
9:15:33,80.785,116.404,85.4424,410.534,123.0961169,39.4371238
9:15:39,86.674,205.953,85.4424,410.534,123.096959,39.43662647
9:15:45,96.91,330.918,91.1988,457.682,123.0981129,39.43588764
9:15:51,110.275,394.596,41.292,552.552,123.0982891,39.43484972
9:15:57,127.352,453.537,44.0568,332.885,123.0986995,39.43434065
9:16:03,137.606,601.565,41.8176,583.575,123.1003421,39.43386885
9:16:09,139.866,681.443,44.3664,333.17,123.1012269,39.43366935
9:16:15,138.215,767.342,103.0104,712.247,123.1016578,39.43253983
9:16:21,137.621,1193.147,60.984,269.18,123.1040346,39.4276029
9:16:27,154.703,1442.573,60.984,269.18,123.1025019,39.43032703
9:16:39,99.714,1639.108,60.984,261.135,123.104804,39.43002709
9:16:45,132.847,1735.323,77.2236,304.153,123.1058481,39.42974171
9:16:51,132.426,1832.631,93.4632,311.656,123.1060306,39.42803357
9:16:57,140.859,1935.624,82.638,521.873,123.1075,39.42826055
9:17:03,151.653,2000.559,119.0736,-21.507,123.1067882,39.42573535
9:17:09,133.676,2093.979,123.5628,364.886,123.1085801,39.42668027
9:17:15,140.377,2197.004,110.1384,335.674,123.1098449,39.42652751
9:17:21,125.523,2292.639,134.3556,394.639,123.110603,39.42572134
9:17:27,133.204,2381.729,109.7496,311.859,123.1113429,39.42507125
9:17:33,127.321,2477.553,114.3432,272.75,123.112123,39.4243497
9:17:39,140.65,2576.452,92.7216,233.372,123.1130881,39.42386901
9:17:45,132.496,2675.628,70.7904,229.004,123.1139486,39.42320131
9:17:51,133.625,2809.187,75.69,504.42,123.1143354,39.42655727
9:17:57,120.715,3229.82,66.7404,516.631,123.1081264,39.4252071
9:18:03,136.947,3994.498,66.7404,516.631,123.1158155,39.42168897
9:18:09,112.887,4143.455,71.6868,368.2,123.1171497,39.42078599
9:18:09,257.699,4148.268,71.6868,357.8,123.1170809,39.42077354
9:18:15,126.715,4263.876,71.6868,368,123.1182059,39.42017674
9:18:21,149.17,4327.856,71.6868,383.7,123.1184197,39.41914483
9:18:27,101.307,4447.911,71.6868,393.1,123.1198225,39.41892712
9:18:33,143.975,4519.243,71.6868,406.6,123.1203857,39.41833148
9:18:39,144.78,4600.384,71.6868,431.4,123.1210185,39.41763768
9:18:45,148.572,4731.452,71.6868,414,123.1219877,39.41641707
9:18:51,119.432,4807.151,86.5296,347.811,123.1228192,39.41621354
9:18:57,119.461,4906.638,90.8892,355.823,123.123815,39.41575769
9:19:03,139.093,4989.157,123.1776,425.157,123.1244666,39.41504265
9:19:09,144.281,5077.565,90.8892,360.21,123.1253021,39.41454461
9:19:15,144.991,5177.718,102.1968,379.476,123.1261038,39.41370786
9:19:21,142.523,5267.186,37.2384,412.718,123.126927,39.41314076
9:19:27,144.254,5363.679,28.764,320.939,123.127759,39.41245526
9:19:33,147.907,5456.944,91.1664,320.582,123.1284891,39.41164781
9:19:39,135.562,5550.602,79.0164,232.686,123.1294593,39.41128726
9:19:45,132.184,5643.166,59.7384,271.389,123.1304003,39.41087845
9:19:51,129.809,5733.012,65.5128,297.302,123.1311117,39.41009605
9:19:57,129.672,5828.301,57.24,345.584,123.1320869,39.40966472
9:20:03,129.726,5917.604,56.6244,340.412,123.1328598,39.40899771
9:20:15,129.408,6098.295,66.3264,306.55,123.1343725,39.40756487
9:20:21,133.642,6200.56,59.3964,343.341,123.1353078,39.40689141
9:20:27,136.512,6296.57,60.084,331.891,123.136192,39.40627562
9:20:33,132.895,6390.136,59.0724,318.433,123.1371954,39.40595533
9:20:39,129.65,6477.047,59.3532,284.187,123.1379758,39.40536984
9:20:45,130.563,6564.676,58.6692,273.154,123.1386064,39.40446589
9:20:51,132.245,6664.276,57.3372,323.641,123.1394814,39.40372814
9:20:57,134.91,6752.327,56.826,339.671,123.1402567,39.40307203
9:21:03,136.699,6838.661,57.5712,323.446,123.1410029,39.4024041
9:21:09,139.558,6936.248,57.0744,278.695,123.1419095,39.40179002
9:21:15,137.897,7035.432,64.044,322.674,123.142913,39.40131705
9:21:21,132.43,7134.301,64.2672,326.984,123.1437859,39.40057943
9:22:27,0,8236.029,64.2672,326.984,123.1544749,39.39428245
9:22:33,163.204,8339.117,64.2672,326.984,123.155083,39.39275159
9:22:45,155.595,8519.254,105.6168,365.13,123.156957,39.39198294
9:23:03,148.82,8778.858,105.0732,315.401,123.1593396,39.39013549
9:23:09,139.191,8881.795,66.9276,324.166,123.1602182,39.38921578
9:23:15,140.578,8978.746,62.8164,294.046,123.1612191,39.38878592
9:23:21,129.607,9062.416,68.2704,261.603,123.1619278,39.38802952
9:23:27,128.842,9158.775,70.6932,402.608,123.1627902,39.38719465
9:23:33,132.976,9243.665,69.3288,319.389,123.1636103,39.38665498
9:23:39,139.09,9336.199,72.9432,342.515,123.1644705,39.38596258
9:23:45,130.051,9435.804,70.1712,333.178,123.1654763,39.38543263
9:23:51,135.005,9528.867,71.9028,323.488,123.166291,39.38459985
9:23:57,134.083,9614.808,72.9432,359.435,123.1671228,39.38402165
9:24:03,133.8,9702.098,71.136,372.483,123.1679192,39.38328944
9:24:09,133.3,9795.501,71.5752,421.322,123.1688248,39.3826272
9:24:15,136.371,9893.965,69.3036,354.87,123.1697477,39.38188668
9:24:21,135.089,9982.095,69.0516,340.752,123.1705878,39.38126463
9:24:27,135.438,10063.535,67.9356,318.954,123.1713952,39.38078437
9:24:31,132.522,10153.06,67.392,308.45,123.1722248,39.38006388
9:24:50,133.486,10422.357,59.6088,352.978,123.1748745,39.37823633
9:24:56,133.004,10502.51,58.3632,349.21,123.1755948,39.37744702
9:25:02,135.447,10594.139,55.2492,300.072,123.1764158,39.37655998
9:25:08,137.081,10682.113,77.6772,360.526,123.1773299,39.37607519
9:25:14,137.008,10768.22,75.8052,307.022,123.1781396,39.37533907
9:25:20,136.506,10858.499,69.1416,332.694,123.178999,39.37455966
9:25:26,138.817,10941.01,68.544,393.084,123.1797798,39.37376423
9:25:32,136.519,11031.013,68.472,354.338,123.1807213,39.37328027
9:25:38,133.684,11121.328,66.9384,386.481,123.1816593,39.37273678
9:25:44,132.807,11212.774,65.6532,353.493,123.1825053,39.37179277
9:25:50,135.672,11290.034,63.4644,380.311,123.1833013,39.37128961
9:25:56,133.726,11368.915,61.9452,469.363,123.1841243,39.37071944
9:26:02,130.794,11459.098,61.9452,465.288,123.1850626,39.37009092
9:26:08,136.29,11570.886,62.4708,359.344,123.1858806,39.36779291
9:26:08,136.29,11571,62.4708,359.344,123.1858819,39.36779277
9:26:20,84.31,11693.413,62.4708,359.344,123.1873409,39.36790645
9:26:26,114.107,11811.68,62.4708,359.344,123.188535,39.36687362
9:26:32,138.529,11877.696,66.2256,358.421,123.1892651,39.36670485
9:26:44,134.02,12057.737,60.5916,352.274,123.1911212,39.36529585
9:26:50,132.318,12143.451,76.0248,349.105,123.1920108,39.36460123
9:26:56,147.438,12219.087,72.6012,405.029,123.1928122,39.36398307
9:27:02,139.778,12307.179,85.86,343.157,123.1937235,39.36319147
9:27:08,142.859,12388.222,52.1064,305.604,123.1945711,39.36253474
9:27:14,144.929,12458.713,52.9272,389.762,123.1953255,39.36190187
9:27:20,147.099,12545.724,50.3568,357.373,123.1962651,39.36120211
9:27:26,134.925,12624.823,52.7364,334.145,123.1971212,39.36061118
9:27:32,137.5,12701.559,62.6472,413.168,123.1979719,39.35995857
9:27:38,134.299,12786.892,65.5128,355.417,123.1988956,39.35919062
9:27:44,136.544,12869.14,65.6676,322.736,123.1997675,39.35817501
9:27:50,136.181,12939.356,68.1804,380.178,123.2005652,39.35773858
9:27:56,136.518,13018.795,65.5812,351.995,123.2014611,39.35727066
9:28:02,132.019,13093.939,68.1804,307.864,123.2022911,39.35659607
9:28:08,132.962,13165.172,67.1436,320.542,123.2030904,39.35587517
9:28:14,132.493,13258.812,64.0224,302.462,123.2041561,39.35514404
9:28:20,131.426,13320.04,63.2304,326.451,123.2048617,39.35452752
9:28:26,131.237,13394.745,64.0764,391.991,123.2057533,39.35389749
9:28:32,137.272,13464.316,64.9512,380.729,123.2065787,39.35322506
9:28:38,135.277,13543.925,73.6956,298.241,123.2074989,39.35251552
9:28:44,136.399,13620.25,76.8456,295.5,123.2084094,39.35152986
9:28:50,137.606,13693.886,75.8664,348.246,123.2093224,39.35061012
9:28:56,138.884,13767.746,77.3388,290.155,123.2101796,39.35047222
9:29:02,133.533,13838.184,77.8284,357.853,123.2110589,39.34981145
9:29:08,131.687,13903.24,77.3388,323.836,123.2118833,39.34900998
9:29:14,131.688,13981.603,76.3632,282.408,123.2128369,39.34846418
9:29:20,129.877,14044.489,70.8228,362.196,123.2136633,39.34775507
9:29:26,129.526,14115.793,66.2472,310.503,123.2146292,39.34667075
9:29:32,135.034,14188.642,65.7936,274.938,123.2154984,39.34644599
9:29:38,136.15,14247.739,65.0952,366.51,123.2163018,39.34582225
9:29:44,128.412,14321.501,65.0952,369.802,123.2172927,39.34513623
9:29:50,131.849,14383.748,70.686,384.095,123.2182166,39.34414642
9:29:56,130.247,14458.799,72.0828,362.64,123.2191959,39.34364909
9:30:02,129.877,14512.813,71.316,313.523,123.2199205,39.34313307
9:30:08,127.297,14577.243,71.2872,357.991,123.2208528,39.34238067
9:30:14,135.971,14633.356,71.2872,352.164,123.2217326,39.34149829
9:30:20,132.805,14697.13,59.8536,382.659,123.2226407,39.34096024
9:30:26,134.809,14748.558,58.0824,379.953,123.2234235,39.34035895
9:30:32,131.486,14808.833,74.9772,376.686,123.2243649,39.3396011
9:30:44,136.01,14935.389,58.734,383.807,123.2262709,39.33838355
9:30:50,132.593,14970.94,58.8888,368.065,123.2269422,39.33765842
